k,degree,coarseType,variant,beta,rho,nu,fineHInv,localHInv,ndof,nSubdomains,supportSteps,localDofEstimate,rawCoarseEstimate,estimateGB,coarseDimension,rawCoarseDimension,localMode,localDofMin,localDofMax,localDofMean,gmresIterations,flag,finalRelres,resvecLength,setupS,solveS,totalS,status,notes
16,1,economic,dirichlet,0.6,0.2871745887492587,3,64,16,4225,289,8,289,1734,0.2447273475044506,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
16,1,economic,impedance,0.6,0.2871745887492587,3,64,16,4225,289,8,289,1734,0.2447273475044506,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
16,1,spectral,dirichlet,0.6,0.2871745887492587,3,64,16,4225,289,8,289,18496,0.3372843543743109,1633,1633,lu,10,37,33.55363321799308,7,0,4.092270274477049e-07,8,5.1933999,0.2293973,5.6637091,ran,Estimated raw coarse 18496; actual 1633.
16,1,spectral,impedance,0.6,0.2871745887492587,3,64,16,4225,289,8,289,18496,0.3372843543743109,1633,1633,lu,15,61,55.03460207612456,7,0,3.533538433214757e-07,8,5.5574786,0.2370063,5.9782484,ran,Estimated raw coarse 18496; actual 1633.
32,1,economic,dirichlet,0.6,0.25,4,192,32,37249,1089,12,625,8712,2.207308727939888,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
32,1,economic,impedance,0.6,0.25,4,192,32,37249,1089,12,625,8712,2.207308727939888,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
32,1,spectral,dirichlet,0.6,0.25,4,192,32,37249,1089,12,625,104544,2.807062308679419,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:nomem: Out of memory.
32,1,spectral,impedance,0.6,0.25,4,192,32,37249,1089,12,625,104544,2.807062308679419,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:nomem: Out of memory.
64,1,economic,dirichlet,0.6,0.217637640824031,5,512,64,263169,4225,16,1089,42250,15.98406813986669,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
64,1,economic,impedance,0.6,0.217637640824031,5,512,64,263169,4225,16,1089,42250,15.98406813986669,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
64,1,spectral,dirichlet,0.6,0.217637640824031,5,512,64,263169,4225,16,1089,540800,19.45435530919255,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Above medium run cap N=50000.
64,1,spectral,impedance,0.6,0.217637640824031,5,512,64,263169,4225,16,1089,540800,19.45435530919255,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Above medium run cap N=50000.
128,1,economic,dirichlet,0.6,0.1894645708137997,7,1536,128,2362369,16641,24,2401,232974,151.9220080293044,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
128,1,economic,impedance,0.6,0.1894645708137997,7,1536,128,2362369,16641,24,2401,232974,151.9220080293044,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_economic_lxzz_hat_support,Hu-Li economic traces require rectangular subdomain boundaries; LXZZ hat supports include truncated or nonrectangular boundary patches.
128,1,spectral,dirichlet,0.6,0.1894645708137997,7,1536,128,2362369,16641,24,2401,3195072,174.7898554311505,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Above medium run cap N=50000.
128,1,spectral,impedance,0.6,0.1894645708137997,7,1536,128,2362369,16641,24,2401,3195072,174.7898554311505,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Above medium run cap N=50000.
